user_id,recency_days,frequency,monetary,surge_exposure,R_score,F_score,M_score,S_score,RFMS,RFMS_score,riders_segment,weighted_score
R00044,62,18,310.09000000000003,0.5,1,2,3,4,1234,10,Active Riders,2.0
R00045,30,18,299.44,0.3888888888888889,1,2,2,3,1223,8,At Risk Riders,1.7
R00046,10,29,426.03,0.2413793103448276,3,4,4,1,3441,12,Active Riders,3.3
R00047,8,21,344.63,0.23809523809523808,3,3,3,1,3331,10,Active Riders,2.8
R00048,1,21,313.11,0.47619047619047616,4,3,3,4,4334,14,Champions,3.5
R00049,4,18,267.75,0.3888888888888889,4,2,2,3,4223,11,Active Riders,2.9
R00050,97,13,207.6,0.3076923076923077,1,1,1,2,1112,5,Dormant Riders,1.1
R00051,17,22,303.25,0.2727272727272727,2,3,2,2,2322,9,At Risk Riders,2.3
R00052,24,22,344.53,0.36363636363636365,2,3,3,3,2333,11,Active Riders,2.6
R00053,3,19,283.79,0.2631578947368421,4,2,2,1,4221,9,At Risk Riders,2.7
R00054,5,15,249.13,0.2,4,1,1,1,4111,7,At Risk Riders,2.2
R00055,11,18,309.3,0.3888888888888889,3,2,3,3,3233,11,Active Riders,2.7
R00056,41,23,348.64,0.2608695652173913,1,3,3,1,1331,8,At Risk Riders,2.0
R00057,22,26,384.87,0.23076923076923078,2,4,4,1,2441,11,Active Riders,2.9
R00058,7,16,252.76,0.3125,3,1,1,2,3112,7,At Risk Riders,1.9
R00059,103,18,259.42,0.3888888888888889,1,2,2,3,1223,8,At Risk Riders,1.7
R00060,8,19,271.8,0.2631578947368421,3,2,2,1,3221,8,At Risk Riders,2.3
R00061,50,26,395.84000000000003,0.46153846153846156,1,4,4,4,1444,13,Active Riders,2.8
R00062,26,22,344.3,0.18181818181818182,2,3,3,1,2331,9,At Risk Riders,2.4
R00063,3,18,284.54,0.3333333333333333,4,2,2,2,4222,10,Active Riders,2.8
R00064,17,13,240.39,0.46153846153846156,2,1,1,4,2114,8,At Risk Riders,1.7
R00065,8,18,315.37,0.16666666666666666,3,2,3,1,3231,9,At Risk Riders,2.5
R00066,44,19,269.15,0.3157894736842105,1,2,2,2,1222,7,At Risk Riders,1.6
R00067,44,15,189.86,0.0,1,1,1,1,1111,4,Dormant Riders,1.0
R00068,5,26,386.43,0.34615384615384615,4,4,4,3,4443,15,Champions,3.9
R00069,2,25,331.09,0.24,4,4,3,1,4431,12,Active Riders,3.5
R00070,18,18,296.24,0.5,2,2,2,4,2224,10,Active Riders,2.2
R00071,4,32,439.81,0.28125,4,4,4,2,4442,14,Champions,3.8
R00072,22,20,307.01,0.4,2,2,3,3,2233,10,Active Riders,2.3
R00073,13,16,294.43,0.5,3,1,2,4,3124,10,Active Riders,2.3
R00074,7,21,316.65,0.2857142857142857,3,3,3,2,3332,11,Active Riders,2.9
R00075,17,21,346.8,0.42857142857142855,2,3,3,4,2334,12,Active Riders,2.7
R00076,35,19,278.36,0.3684210526315789,1,2,2,3,1223,8,At Risk Riders,1.7
R00077,25,13,226.78,0.38461538461538464,2,1,1,3,2113,7,At Risk Riders,1.6
R00078,1,19,327.38,0.5263157894736842,4,2,3,4,4234,13,Active Riders,3.2
R00079,13,31,517.05,0.41935483870967744,3,4,4,4,3444,15,Champions,3.6
R00080,74,20,326.02,0.5,1,2,3,4,1234,10,Active Riders,2.0
R00081,49,25,382.93,0.32,1,4,4,2,1442,11,Active Riders,2.6
R00082,1,21,370.72,0.42857142857142855,4,3,4,4,4344,15,Champions,3.7
R00083,20,17,286.36,0.23529411764705882,2,1,2,1,2121,6,At Risk Riders,1.6
R00084,11,20,345.95,0.45,3,2,3,4,3234,12,Active Riders,2.8
R00085,54,19,273.57,0.3684210526315789,1,2,2,3,1223,8,At Risk Riders,1.7
R00086,46,24,356.04,0.20833333333333334,1,4,3,1,1431,9,At Risk Riders,2.3
R00087,6,20,315.32,0.3,4,2,3,2,4232,11,Active Riders,3.0
R00088,7,21,318.18,0.3333333333333333,3,3,3,2,3332,11,Active Riders,2.9
R00089,16,30,496.09,0.3333333333333333,2,4,4,2,2442,12,Active Riders,3.0
R00090,25,24,406.65,0.4166666666666667,2,4,4,4,2444,14,Champions,3.2
R00091,133,15,247.52,0.26666666666666666,1,1,1,2,1112,5,Dormant Riders,1.1
R00092,8,22,368.51,0.3181818181818182,3,3,4,2,3342,12,Active Riders,3.1
R00093,1,26,368.76,0.19230769230769232,4,4,4,1,4441,13,Active Riders,3.7
R00094,11,20,264.42,0.15,3,2,2,1,3221,8,At Risk Riders,2.3
R00095,85,22,364.74,0.45454545454545453,1,3,4,4,1344,12,Active Riders,2.5
R00096,14,23,357.83,0.2608695652173913,2,3,4,1,2341,10,Active Riders,2.6
R00097,33,16,208.87,0.4375,1,1,1,4,1114,7,At Risk Riders,1.3
R00098,3,24,357.52,0.20833333333333334,4,4,4,1,4441,13,Active Riders,3.7
R00099,15,26,395.9,0.34615384615384615,2,4,4,3,2443,13,Active Riders,3.1
R00100,22,23,383.65,0.34782608695652173,2,3,4,3,2343,12,Active Riders,2.8
R00101,3,28,401.03,0.32142857142857145,4,4,4,2,4442,14,Champions,3.8
R00102,18,12,171.6,0.25,2,1,1,1,2111,5,Dormant Riders,1.4
R00103,26,22,332.85,0.18181818181818182,2,3,3,1,2331,9,At Risk Riders,2.4
R00104,21,17,284.03,0.35294117647058826,2,1,2,3,2123,8,At Risk Riders,1.8
R00105,20,24,383.98,0.3333333333333333,2,4,4,2,2442,12,Active Riders,3.0
R00106,10,21,333.96999999999997,0.5238095238095238,3,3,3,4,3334,13,Active Riders,3.1
R00107,27,13,228.5,0.38461538461538464,1,1,1,3,1113,6,At Risk Riders,1.2
R00108,10,20,301.90999999999997,0.4,3,2,2,3,3223,10,Active Riders,2.5
R00109,3,21,300.33,0.38095238095238093,4,3,2,3,4323,12,Active Riders,3.2
R00110,44,12,219.6,0.4166666666666667,1,1,1,4,1114,7,At Risk Riders,1.3
R00111,4,22,320.63,0.22727272727272727,4,3,3,1,4331,11,Active Riders,3.2
R00112,21,18,288.27,0.5,2,2,2,4,2224,10,Active Riders,2.2
R00113,14,21,365.87,0.5238095238095238,2,3,4,4,2344,13,Active Riders,2.9
R00114,4,28,499.38,0.42857142857142855,4,4,4,4,4444,16,Champions,4.0
R00115,18,18,264.76,0.3888888888888889,2,2,2,3,2223,9,At Risk Riders,2.1
R00116,11,21,360.78,0.38095238095238093,3,3,4,3,3343,13,Active Riders,3.2
R00117,2,25,346.5,0.44,4,4,3,4,4434,15,Champions,3.8
R00118,37,16,265.4,0.4375,1,1,2,4,1124,8,At Risk Riders,1.5
R00119,5,17,251.88,0.23529411764705882,4,1,1,1,4111,7,At Risk Riders,2.2
R00120,3,14,207.7,0.42857142857142855,4,1,1,4,4114,10,Active Riders,2.5
R00121,8,9,126.46000000000001,0.3333333333333333,3,1,1,2,3112,7,At Risk Riders,1.9
R00122,59,18,276.9,0.2777777777777778,1,2,2,2,1222,7,At Risk Riders,1.6
R00123,18,23,311.43,0.21739130434782608,2,3,3,1,2331,9,At Risk Riders,2.4
R00124,5,21,346.26,0.3333333333333333,4,3,3,2,4332,12,Active Riders,3.3
R00125,9,21,347.36,0.3333333333333333,3,3,3,2,3332,11,Active Riders,2.9
R00126,8,26,413.12,0.38461538461538464,3,4,4,3,3443,14,Champions,3.5
R00127,8,16,242.22,0.25,3,1,1,1,3111,6,At Risk Riders,1.8
R00128,23,19,302.01,0.2631578947368421,2,2,2,1,2221,7,At Risk Riders,1.9
R00129,14,18,307.89,0.2222222222222222,2,2,3,1,2231,8,At Risk Riders,2.1
R00130,3,19,287.0,0.2631578947368421,4,2,2,1,4221,9,At Risk Riders,2.7
R00131,2,30,463.41,0.3,4,4,4,2,4442,14,Champions,3.8
R00132,4,16,222.95,0.5,4,1,1,4,4114,10,Active Riders,2.5
R00133,11,24,401.13,0.4166666666666667,3,4,4,4,3444,15,Champions,3.6
R00134,47,16,238.48,0.25,1,1,1,1,1111,4,Dormant Riders,1.0
R00135,105,12,176.37,0.4166666666666667,1,1,1,4,1114,7,At Risk Riders,1.3
R00136,28,18,274.63,0.4444444444444444,1,2,2,4,1224,9,At Risk Riders,1.8
R00137,8,21,319.67,0.23809523809523808,3,3,3,1,3331,10,Active Riders,2.8
R00138,34,19,303.34,0.3157894736842105,1,2,2,2,1222,7,At Risk Riders,1.6
R00139,38,23,343.67,0.17391304347826086,1,3,3,1,1331,8,At Risk Riders,2.0
R00140,19,19,312.18,0.42105263157894735,2,2,3,4,2234,11,Active Riders,2.4
R00141,49,24,337.09000000000003,0.4166666666666667,1,4,3,4,1434,12,Active Riders,2.6
R00142,2,24,361.8,0.20833333333333334,4,4,4,1,4441,13,Active Riders,3.7
R00143,18,19,326.51,0.3684210526315789,2,2,3,3,2233,10,Active Riders,2.3
R00144,7,25,416.8,0.32,3,4,4,2,3442,13,Active Riders,3.4
R00145,6,21,402.64,0.6190476190476191,4,3,4,4,4344,15,Champions,3.7
R00146,4,15,254.68,0.4,4,1,1,3,4113,9,At Risk Riders,2.4
R00147,12,23,404.86,0.34782608695652173,3,3,4,3,3343,13,Active Riders,3.2
R00148,17,14,215.59,0.2857142857142857,2,1,1,2,2112,6,At Risk Riders,1.5
R00149,58,22,334.41,0.4090909090909091,1,3,3,3,1333,10,Active Riders,2.2
R00150,58,13,164.34,0.0,1,1,1,1,1111,4,Dormant Riders,1.0
R00151,1,23,384.85,0.34782608695652173,4,3,4,3,4343,14,Champions,3.6
R00152,32,31,521.06,0.3870967741935484,1,4,4,3,1443,12,Active Riders,2.7
R00153,9,20,287.7,0.25,3,2,2,1,3221,8,At Risk Riders,2.3
R00154,2,23,351.69,0.2608695652173913,4,3,3,1,4331,11,Active Riders,3.2
R00155,24,17,274.15999999999997,0.35294117647058826,2,1,2,3,2123,8,At Risk Riders,1.8
R00156,41,13,216.95000000000002,0.38461538461538464,1,1,1,3,1113,6,At Risk Riders,1.2
R00157,10,26,367.5,0.34615384615384615,3,4,4,3,3443,14,Champions,3.5
R00158,4,25,387.24,0.2,4,4,4,1,4441,13,Active Riders,3.7
R00159,16,17,269.11,0.5882352941176471,2,1,2,4,2124,9,At Risk Riders,1.9
R00160,1,18,290.68,0.3888888888888889,4,2,2,3,4223,11,Active Riders,2.9
R00161,2,19,298.01,0.10526315789473684,4,2,2,1,4221,9,At Risk Riders,2.7
R00162,19,23,372.39,0.34782608695652173,2,3,4,3,2343,12,Active Riders,2.8
R00163,8,16,254.07999999999998,0.25,3,1,1,1,3111,6,At Risk Riders,1.8
R00164,5,24,395.06,0.2916666666666667,4,4,4,2,4442,14,Champions,3.8
R00165,11,24,361.35,0.375,3,4,4,3,3443,14,Champions,3.5
R00166,19,23,365.87,0.21739130434782608,2,3,4,1,2341,10,Active Riders,2.6
R00167,6,19,325.61,0.3684210526315789,4,2,3,3,4233,12,Active Riders,3.1
R00168,9,17,276.27,0.35294117647058826,3,1,2,3,3123,9,At Risk Riders,2.2
R00169,7,20,268.39,0.15,3,2,2,1,3221,8,At Risk Riders,2.3
R00170,13,14,206.54,0.35714285714285715,3,1,1,3,3113,8,At Risk Riders,2.0
R00171,2,20,300.03,0.25,4,2,2,1,4221,9,At Risk Riders,2.7
R00172,11,26,377.28999999999996,0.3076923076923077,3,4,4,2,3442,13,Active Riders,3.4
R00173,90,19,304.13,0.21052631578947367,1,2,2,1,1221,6,At Risk Riders,1.5
R00174,2,23,383.27,0.2608695652173913,4,3,4,1,4341,12,Active Riders,3.4
R00175,25,11,155.68,0.18181818181818182,2,1,1,1,2111,5,Dormant Riders,1.4
R00176,13,26,381.63,0.23076923076923078,3,4,4,1,3441,12,Active Riders,3.3
R00177,72,21,339.64,0.5238095238095238,1,3,3,4,1334,11,Active Riders,2.3
R00178,4,23,356.15,0.30434782608695654,4,3,3,2,4332,12,Active Riders,3.3
R00179,36,25,380.19,0.28,1,4,4,2,1442,11,Active Riders,2.6
R00180,8,14,205.14000000000001,0.35714285714285715,3,1,1,3,3113,8,At Risk Riders,2.0
R00181,6,18,262.74,0.2222222222222222,4,2,2,1,4221,9,At Risk Riders,2.7
R00182,20,17,223.07,0.17647058823529413,2,1,1,1,2111,5,Dormant Riders,1.4
R00183,14,24,385.74,0.375,2,4,4,3,2443,13,Active Riders,3.1
R00184,17,19,313.37,0.42105263157894735,2,2,3,4,2234,11,Active Riders,2.4
R00185,4,19,289.74,0.3684210526315789,4,2,2,3,4223,11,Active Riders,2.9
R00186,2,10,131.33,0.1,4,1,1,1,4111,7,At Risk Riders,2.2
R00187,76,18,292.28000000000003,0.4444444444444444,1,2,2,4,1224,9,At Risk Riders,1.8
R00188,9,14,219.67000000000002,0.14285714285714285,3,1,1,1,3111,6,At Risk Riders,1.8
R00189,9,31,462.11,0.3225806451612903,3,4,4,2,3442,13,Active Riders,3.4
R00190,43,17,297.7,0.29411764705882354,1,1,2,2,1122,6,At Risk Riders,1.3
R00191,6,16,232.01,0.125,4,1,1,1,4111,7,At Risk Riders,2.2
R00192,2,24,317.24,0.20833333333333334,4,4,3,1,4431,12,Active Riders,3.5
R00193,4,17,321.95,0.4117647058823529,4,1,3,4,4134,12,Active Riders,2.9
R00194,21,22,368.93,0.2727272727272727,2,3,4,2,2342,11,Active Riders,2.7
R00195,10,20,322.01,0.3,3,2,3,2,3232,10,Active Riders,2.6
R00196,23,16,265.72,0.4375,2,1,2,4,2124,9,At Risk Riders,1.9
R00197,65,6,99.73,0.3333333333333333,1,1,1,2,1112,5,Dormant Riders,1.1
R00198,11,22,338.21999999999997,0.3181818181818182,3,3,3,2,3332,11,Active Riders,2.9
R00199,43,15,223.86,0.4,1,1,1,3,1113,6,At Risk Riders,1.2
R00200,7,25,340.05,0.24,3,4,3,1,3431,11,Active Riders,3.1
R00201,25,11,165.96,0.45454545454545453,2,1,1,4,2114,8,At Risk Riders,1.7
R00202,38,7,111.2,0.2857142857142857,1,1,1,2,1112,5,Dormant Riders,1.1
R00203,4,19,275.64,0.42105263157894735,4,2,2,4,4224,12,Active Riders,3.0
R00204,26,18,262.23,0.3333333333333333,2,2,2,2,2222,8,At Risk Riders,2.0
R00205,10,23,364.0,0.43478260869565216,3,3,4,4,3344,14,Champions,3.3
R00206,11,15,221.34,0.4666666666666667,3,1,1,4,3114,9,At Risk Riders,2.1
R00207,2,23,366.51,0.30434782608695654,4,3,4,2,4342,13,Active Riders,3.5
R00208,56,14,235.34,0.35714285714285715,1,1,1,3,1113,6,At Risk Riders,1.2
R00209,29,18,264.29,0.2777777777777778,1,2,2,2,1222,7,At Risk Riders,1.6
R00210,25,20,319.67,0.3,2,2,3,2,2232,9,At Risk Riders,2.2
R00211,4,15,214.77,0.06666666666666667,4,1,1,1,4111,7,At Risk Riders,2.2
R00212,4,21,316.32,0.3333333333333333,4,3,3,2,4332,12,Active Riders,3.3
R00213,7,25,351.69,0.4,3,4,3,3,3433,13,Active Riders,3.3
R00214,10,17,245.51,0.29411764705882354,3,1,1,2,3112,7,At Risk Riders,1.9
R00215,15,22,331.39,0.3181818181818182,2,3,3,2,2332,10,Active Riders,2.5
R00216,10,19,311.96,0.47368421052631576,3,2,3,4,3234,12,Active Riders,2.8
R00217,11,21,284.48,0.2857142857142857,3,3,2,2,3322,10,Active Riders,2.7
R00218,7,20,301.34,0.4,3,2,2,3,3223,10,Active Riders,2.5
R00219,7,21,364.69,0.42857142857142855,3,3,4,4,3344,14,Champions,3.3
R00220,7,23,357.36,0.5217391304347826,3,3,4,4,3344,14,Champions,3.3
R00221,3,24,428.40999999999997,0.375,4,4,4,3,4443,15,Champions,3.9
R00222,23,15,221.03,0.2,2,1,1,1,2111,5,Dormant Riders,1.4
R00223,36,22,334.06,0.3181818181818182,1,3,3,2,1332,9,At Risk Riders,2.1
R00224,23,17,296.57,0.5294117647058824,2,1,2,4,2124,9,At Risk Riders,1.9
R00225,12,13,216.7,0.38461538461538464,3,1,1,3,3113,8,At Risk Riders,2.0
R00226,34,22,312.66,0.3181818181818182,1,3,3,2,1332,9,At Risk Riders,2.1
R00227,7,13,171.8,0.38461538461538464,3,1,1,3,3113,8,At Risk Riders,2.0
R00228,24,18,241.02,0.2222222222222222,2,2,1,1,2211,6,At Risk Riders,1.7
R00229,2,21,353.51,0.2857142857142857,4,3,3,2,4332,12,Active Riders,3.3
R00230,19,24,388.6,0.20833333333333334,2,4,4,1,2441,11,Active Riders,2.9
R00231,13,22,312.44,0.2727272727272727,3,3,3,2,3332,11,Active Riders,2.9
R00232,7,14,210.96,0.2857142857142857,3,1,1,2,3112,7,At Risk Riders,1.9
R00233,3,25,408.9,0.36,4,4,4,3,4443,15,Champions,3.9
R00234,15,14,212.26999999999998,0.21428571428571427,2,1,1,1,2111,5,Dormant Riders,1.4
R00235,9,27,409.18,0.2962962962962963,3,4,4,2,3442,13,Active Riders,3.4
R00236,5,16,273.74,0.1875,4,1,2,1,4121,8,At Risk Riders,2.4
R00237,9,15,271.13,0.6,3,1,2,4,3124,10,Active Riders,2.3
R00238,1,15,203.47,0.26666666666666666,4,1,1,2,4112,8,At Risk Riders,2.3
R00239,17,14,225.81,0.42857142857142855,2,1,1,4,2114,8,At Risk Riders,1.7
R00240,19,14,231.58,0.5714285714285714,2,1,1,4,2114,8,At Risk Riders,1.7
R00241,16,29,485.98,0.4482758620689655,2,4,4,4,2444,14,Champions,3.2
R00242,24,17,238.34,0.058823529411764705,2,1,1,1,2111,5,Dormant Riders,1.4
R00243,26,16,261.08,0.3125,2,1,2,2,2122,7,At Risk Riders,1.7
R00244,27,15,205.35,0.5333333333333333,1,1,1,4,1114,7,At Risk Riders,1.3
R00245,9,21,289.15999999999997,0.2857142857142857,3,3,2,2,3322,10,Active Riders,2.7
R00246,16,24,312.98,0.125,2,4,3,1,2431,10,Active Riders,2.7
R00247,71,18,285.47,0.5,1,2,2,4,1224,9,At Risk Riders,1.8
R00248,41,25,392.49,0.36,1,4,4,3,1443,12,Active Riders,2.7
R00249,6,23,319.32,0.34782608695652173,4,3,3,3,4333,13,Active Riders,3.4
R00250,2,21,333.29,0.38095238095238093,4,3,3,3,4333,13,Active Riders,3.4
R00251,3,19,305.95,0.2631578947368421,4,2,3,1,4231,10,Active Riders,2.9
R00252,10,27,363.82,0.07407407407407407,3,4,4,1,3441,12,Active Riders,3.3
R00253,7,21,340.37,0.5238095238095238,3,3,3,4,3334,13,Active Riders,3.1
R00254,11,26,399.61,0.3076923076923077,3,4,4,2,3442,13,Active Riders,3.4
R00255,7,15,221.4,0.4,3,1,1,3,3113,8,At Risk Riders,2.0
R00256,24,15,216.03,0.2,2,1,1,1,2111,5,Dormant Riders,1.4
R00257,4,21,359.34,0.23809523809523808,4,3,4,1,4341,12,Active Riders,3.4
R00258,36,22,311.73,0.3181818181818182,1,3,3,2,1332,9,At Risk Riders,2.1
R00259,21,18,243.82999999999998,0.2777777777777778,2,2,1,2,2212,7,At Risk Riders,1.8
R00260,14,18,249.66,0.4444444444444444,2,2,1,4,2214,9,At Risk Riders,2.0
R00261,5,13,198.07,0.38461538461538464,4,1,1,3,4113,9,At Risk Riders,2.4
R00262,10,22,331.95,0.3181818181818182,3,3,3,2,3332,11,Active Riders,2.9
R00263,7,23,300.86,0.21739130434782608,3,3,2,1,3321,9,At Risk Riders,2.6
R00264,53,14,200.99,0.21428571428571427,1,1,1,1,1111,4,Dormant Riders,1.0
R00265,7,20,277.81,0.3,3,2,2,2,3222,9,At Risk Riders,2.4
R00266,24,20,315.79,0.5,2,2,3,4,2234,11,Active Riders,2.4
R00267,24,25,386.51,0.44,2,4,4,4,2444,14,Champions,3.2
R00268,18,20,302.25,0.15,2,2,2,1,2221,7,At Risk Riders,1.9
R00269,11,25,447.42,0.44,3,4,4,4,3444,15,Champions,3.6
R00270,1,25,401.63,0.52,4,4,4,4,4444,16,Champions,4.0
R00271,12,21,274.64,0.2857142857142857,3,3,2,2,3322,10,Active Riders,2.7
R00272,2,29,434.36,0.4827586206896552,4,4,4,4,4444,16,Champions,4.0
R00273,19,22,387.96,0.5,2,3,4,4,2344,13,Active Riders,2.9
R00274,31,18,253.33,0.2222222222222222,1,2,1,1,1211,5,Dormant Riders,1.3
R00275,8,14,184.42,0.14285714285714285,3,1,1,1,3111,6,At Risk Riders,1.8
R00276,28,20,273.06,0.15,1,2,2,1,1221,6,At Risk Riders,1.5
R00277,5,17,257.66,0.23529411764705882,4,1,2,1,4121,8,At Risk Riders,2.4
R00278,17,23,364.87,0.30434782608695654,2,3,4,2,2342,11,Active Riders,2.7
R00279,20,18,267.08,0.2777777777777778,2,2,2,2,2222,8,At Risk Riders,2.0
R00280,52,24,376.36,0.25,1,4,4,1,1441,10,Active Riders,2.5
R00281,3,20,319.29,0.45,4,2,3,4,4234,13,Active Riders,3.2
R00282,29,21,319.62,0.19047619047619047,1,3,3,1,1331,8,At Risk Riders,2.0
R00283,46,17,270.61,0.23529411764705882,1,1,2,1,1121,5,Dormant Riders,1.2
R00284,11,19,357.21999999999997,0.3684210526315789,3,2,4,3,3243,12,Active Riders,2.9
R00285,12,19,275.33,0.3157894736842105,3,2,2,2,3222,9,At Risk Riders,2.4
R00286,72,18,257.77,0.3333333333333333,1,2,2,2,1222,7,At Risk Riders,1.6
R00287,15,20,296.67,0.45,2,2,2,4,2224,10,Active Riders,2.2
R00288,61,19,306.38,0.47368421052631576,1,2,3,4,1234,10,Active Riders,2.0
R00289,14,18,257.71,0.4444444444444444,2,2,2,4,2224,10,Active Riders,2.2
R00290,5,22,366.76,0.36363636363636365,4,3,4,3,4343,14,Champions,3.6
R00291,16,22,323.47,0.45454545454545453,2,3,3,4,2334,12,Active Riders,2.7
R00292,62,15,239.16,0.3333333333333333,1,1,1,2,1112,5,Dormant Riders,1.1
R00293,13,23,366.48,0.391304347826087,3,3,4,3,3343,13,Active Riders,3.2
R00294,11,19,287.89,0.47368421052631576,3,2,2,4,3224,11,Active Riders,2.6
R00295,28,18,277.71000000000004,0.3333333333333333,1,2,2,2,1222,7,At Risk Riders,1.6
R00296,1,14,202.03,0.21428571428571427,4,1,1,1,4111,7,At Risk Riders,2.2
R00297,50,19,293.51,0.2631578947368421,1,2,2,1,1221,6,At Risk Riders,1.5
R00298,38,16,180.84,0.0625,1,1,1,1,1111,4,Dormant Riders,1.0
R00299,6,17,235.34,0.35294117647058826,4,1,1,3,4113,9,At Risk Riders,2.4
R00300,23,23,330.04,0.30434782608695654,2,3,3,2,2332,10,Active Riders,2.5
R00301,14,16,260.65,0.1875,2,1,2,1,2121,6,At Risk Riders,1.6
R00302,30,17,250.5,0.47058823529411764,1,1,1,4,1114,7,At Risk Riders,1.3
R00303,6,21,337.38,0.47619047619047616,4,3,3,4,4334,14,Champions,3.5
R00304,17,20,336.34999999999997,0.25,2,2,3,1,2231,8,At Risk Riders,2.1
R00305,14,20,314.63,0.35,2,2,3,3,2233,10,Active Riders,2.3
R00306,2,24,342.05,0.2916666666666667,4,4,3,2,4432,13,Active Riders,3.6
R00307,7,23,372.45,0.391304347826087,3,3,4,3,3343,13,Active Riders,3.2
R00308,11,25,397.05,0.4,3,4,4,3,3443,14,Champions,3.5
R00309,10,20,281.52,0.25,3,2,2,1,3221,8,At Risk Riders,2.3
R00310,10,24,366.78000000000003,0.3333333333333333,3,4,4,2,3442,13,Active Riders,3.4
R00311,26,24,361.46000000000004,0.3333333333333333,2,4,4,2,2442,12,Active Riders,3.0
R00312,6,22,379.43,0.22727272727272727,4,3,4,1,4341,12,Active Riders,3.4
R00313,11,21,312.96,0.2857142857142857,3,3,3,2,3332,11,Active Riders,2.9
R00314,94,25,405.91,0.32,1,4,4,2,1442,11,Active Riders,2.6
R00315,17,19,364.76,0.42105263157894735,2,2,4,4,2244,12,Active Riders,2.6
R00316,22,12,175.21,0.3333333333333333,2,1,1,2,2112,6,At Risk Riders,1.5
